"Date","Price","Open","High","Low","Vol.","Change %"
"2026/03/13","107,285.27","109,287.25","109,437.82","107,285.27","","-1.83%"
"2026/03/12","109,287.25","109,599.71","110,376.50","107,894.47","151.38M","-0.29%"
"2026/03/11","109,599.71","111,829.61","112,068.57","107,948.92","161.30M","-1.99%"
"2026/03/10","111,829.61","108,993.29","112,925.61","108,993.29","202.12M","2.60%"
"2026/03/09","108,993.29","108,597.24","109,451.66","107,253.71","219.74M","0.36%"
"2026/03/06","108,597.24","111,980.12","112,645.11","107,983.70","177.33M","-3.02%"
"2026/03/05","111,980.12","113,029.68","114,272.72","111,353.20","153.72M","-0.93%"
"2026/03/04","113,029.68","111,842.41","114,464.90","111,823.30","156.49M","1.06%"
"2026/03/03","111,842.41","118,789.66","118,870.92","111,669.20","204.00M","-5.85%"
"2026/03/02","118,789.66","120,296.28","121,329.63","118,308.80","153.43M","-1.25%"
"2026/02/27","120,296.28","118,446.33","120,774.17","118,446.33","209.77M","1.56%"
"2026/02/26","118,446.33","118,702.69","119,388.11","118,394.49","155.52M","-0.22%"
"2026/02/25","118,702.69","116,987.00","119,154.45","116,987.00","105.93M","1.47%"
"2026/02/24","116,987.00","116,833.44","117,209.70","115,892.61","95.93M","0.13%"
"2026/02/23","116,833.44","114,829.51","117,143.24","114,826.77","103.44M","1.75%"
"2026/02/20","114,829.51","113,645.42","115,205.06","113,489.69","103.93M","1.04%"
"2026/02/19","113,645.42","114,336.87","115,105.36","112,645.88","123.75M","-0.60%"
"2026/02/18","114,336.87","111,292.81","114,336.87","111,292.81","128.65M","2.74%"
"2026/02/17","111,292.81","112,878.21","112,878.21","111,292.81","89.24M","-1.40%"
"2026/02/16","112,878.21","112,558.10","113,477.69","112,398.18","75.02M","0.28%"
"2026/02/13","112,558.10","114,217.40","114,260.47","111,834.49","137.47M","-1.45%"